DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170126,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.52,1020641
59170127,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.62,1120755
59170127,Douglas Centre,"2950 Douglas St, Victoria, BC V8T 4N4",0.5,1120755
59170128,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.89,1134602
59170128,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.08,1134602
59170129,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",1.16,1023107
59170130,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.84,1315858
59170131,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.51,985706
59170132,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.77,874713
59170133,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",0.66,1087757
59170134,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.11,952586
59170135,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.19,1095008
59170136,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.24,1048311
59170137,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.22,1051014
59170138,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.13,1061502
59170139,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.52,1013725
59170140,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.51,1056933
59170140,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.62,1056933
59170141,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.25,1269532
59170142,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.07,1050680
59170143,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.06,1163091
59170144,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.89,901691
59170145,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.67,1070096
59170146,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.56,992863
59170147,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.44,1114659
59170148,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.23,751104
59170149,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.31,8913936
59170150,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.19,762385
59170151,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.53,729644
59170152,Mayfair Shopping Centre,"3147 Douglas St, Victoria, BC V8Z 6E3",0.8,775374
59170152,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.63,775374
59170153,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.59,878368
59170154,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.87,1113701
59170155,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.82,938330
59170156,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",1.03,948668
59170156,Hillside Centre,"1644 Hillside Ave #7, Victoria, BC V8P 4B6",1.05,948668
59170157,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.98,955186
59170161,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.43,664723
59170162,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",0.98,740379
59170162,Blanshard Centre,"770 Bay St, Victoria, BC V8T 5E4",0.82,740379
59170163,The Bay Centre,"1150 Douglas St, Victoria, BC V8W 3M9",0.64,784258
